ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Dialect
areare1,'Are'are (1),area1240,'Are'are,alu,Papunesia,-9.20699,161.158,Austronesian,Ma'asupa village
areare2,'Are'are (2),area1240,'Are'are,alu,Papunesia,-9.20699,161.158,Austronesian,Waiahaa village
agufi,Agufi,aguf1237,Agufi,,Papunesia,,,Austronesian,
alu,Alu,aluu1243,Alu,,Papunesia,,,Austronesian,
anuta,Anuta,anut1237,Anuta,aud,Papunesia,-11.61,169.85,Austronesian,
arosi1,Arosi (1),aros1241,Arosi,aia,Papunesia,-10.2441,161.432,Austronesian,Oneibia village
arosi2,Arosi (2),aros1241,Arosi,aia,Papunesia,-10.2441,161.432,Austronesian,Tawatana village
asumboa,Asumboa,asum1237,Asumboa,aua,Papunesia,-11.2969,166.499,Austronesian,
avaso,Avasö,avas1237,Avasö,,Papunesia,,,Austronesian,
bauro1,Bauro (1),baur1252,Bauro,bxa,Papunesia,-10.5826,161.863,Austronesian,Pawa village
bauro2,Bauro (2),baur1252,Bauro,bxa,Papunesia,-10.5826,161.863,Austronesian,Baroo village
bellona,Bellona,renn1242,Rennell-Bellona,mnv,Papunesia,-11.6237,160.265,Austronesian,
blablanga,Blablanga,blab1237,Blablanga,blp,Papunesia,-8.15058,159.419,Austronesian,
buma,Buma,tean1237,Teanu,tkw,Papunesia,-11.6752,166.868,Austronesian,
dhadhaje,Dhadhaje,bugh1239,Bughotu,bgt,Papunesia,-8.47948,159.802,Austronesian,
dorio,Dori'o,dori1246,Dori'o,dor,Papunesia,-9.11536,160.897,Austronesian,
faghani,Faghani,faga1239,Fagani,faf,Papunesia,-10.4479,161.662,Austronesian,
fataleka,Fataleka,fata1245,Fataleka,far,Papunesia,-8.59041,160.861,Austronesian,
fauro,Fauro,faur1237,Fauro,,Papunesia,,,Austronesian,
ghaimuta,Ghaimuta,ghai1237,Ghaimuta,,Papunesia,,,Austronesian,
ghanongga,Ghanongga,ghan1242,Ghanongga,ghn,Papunesia,-8.02035,156.552,Austronesian,
ghari,Ghari,ghar1239,Ghari,gri,Papunesia,-9.4791,159.917,Austronesian,
ghone,Ghone,ghon1237,Ghone,,Papunesia,,,Austronesian,
ghove,Ghove,blab1237,Blablanga,blp,Papunesia,-8.15058,159.419,Austronesian,
haununu,Haununu,haun1237,Haununu,,Papunesia,,,Austronesian,
hoava,Hoava,hoav1238,Hoava,hoa,Papunesia,-8.19679,157.595,Austronesian,
