ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
areare1-163_i-1,,areare1,163_i,inau,inau,i n a u,,Tryon1983,,,^ i n a u $,default
areare1-201_after-1,,areare1,201_after,puri-na,puri-na,p u r i + n a,,Tryon1983,,,^ p u r i - n a $,default
areare1-246_alive-1,,areare1,246_alive,emauri,emauri,e m a u r i,,Tryon1983,,,^ e m a u r i $,default
areare1-96_alstoniasp-1,,areare1,96_alstoniasp,tapa!a,tapa!a,t a p a ʔ a,,Tryon1983,,,^ t a p a ! a $,default
areare1-197_and-1,,areare1,197_and,nā,nā,n aː,,Tryon1983,,,^ n ā $,default
areare1-13_arm-1,,areare1,13_arm,kaika!i-na,kaika!i-na,k a i k a ʔ i + n a,,Tryon1983,,,^ k a i k a ! i - n a $,default
areare1-147_ashes-1,,areare1,147_ashes,korakora,korakora,k o r a k o r a,,Tryon1983,,,^ k o r a k o r a $,default
areare1-290_ask-1,,areare1,290_ask,poiresia,poiresia,p o i r e s i a,,Tryon1983,,,^ p o i r e s i a $,default
areare1-198_at-1,,areare1,198_at,i,i,i,,Tryon1983,,,^ i $,default
areare1-14_back-1,,areare1,14_back,kokoruna,kokoruna,k o k o r u n a,,Tryon1983,,,^ k o k o r u n a $,default
areare1-215_bad-1,,areare1,215_bad,ta!ara,ta!ara,t a ʔ a r a,,Tryon1983,,,^ t a ! a r a $,default
areare1-242_bald-1,,areare1,242_bald,harai,harai,h a r a i,,Tryon1983,,,^ h a r a i $,default
areare1-82_bamboo-1,,areare1,82_bamboo,tepe,tepe,t e p e,,Tryon1983,,,^ t e p e $,default
areare1-83_banana-1,,areare1,83_banana,husi,husi,h u s i,,Tryon1983,,,^ h u s i $,default
areare1-73_bark-1,,areare1,73_bark,te!ete!ena,te!ete!ena,t e ʔ e t e ʔ e n a,,Tryon1983,,,^ t e ! e t e ! e n a $,default
areare1-287_bathe-1,,areare1,287_bathe,roto,roto,r o t o,,Tryon1983,,,^ r o t o $,default
areare1-123_bay-1,,areare1,123_bay,su!u,su!u,s u ʔ u,,Tryon1983,,,^ s u ! u $,default
areare1-15_beard-1,,areare1,15_beard,tatate-na,tatate-na,t a t a t e + n a,,Tryon1983,,,^ t a t a t e - n a $,default
areare1-181_because-1,,areare1,181_because,suria,suria,s u r i a,,Tryon1983,,,^ s u r i a $,default
areare1-16_belly-1,,areare1,16_belly,opa-na,opa-na,o p a + n a,,Tryon1983,,,^ o p a - n a $,default
areare1-202_below-1,,areare1,202_below,oroharia,oroharia,o r o h a r i a,,Tryon1983,,,^ o r o h a r i a $,default
areare1-84_betelnut-1,,areare1,84_betelnut,!e!e,!e!e,ʔ e ʔ e,,Tryon1983,,,^ ! e ! e $,default
areare1-217_big-1,,areare1,217_big,paina,paina,p a i n a,,Tryon1983,,,^ p a i n a $,default
areare1-46_bird-1,,areare1,46_bird,manu,manu,m a n u,,Tryon1983,,,^ m a n u $,default
areare1-301_bite-1,,areare1,301_bite,!araia,!araia,ʔ a r a i a,,Tryon1983,,,^ ! a r a i a $,default
areare1-209_black-1,,areare1,209_black,pupuru!a,pupuru!a,p u p u r u ʔ a,,Tryon1983,,,^ p u p u r u ! a $,default
areare1-17_blood-1,,areare1,17_blood,!apu-na,!apu-na,ʔ a p u + n a,,Tryon1983,,,^ ! a p u - n a $,default
areare1-302_blow-1,,areare1,302_blow,iru,iru,i r u,,Tryon1983,,,^ i r u $,default
areare1-302_blow-2,,areare1,302_blow,uht,uht,u h t,,Tryon1983,,,^ u h t $,default
areare1-210_blue-1,,areare1,210_blue,roroto!a,roroto!a,r o r o t o ʔ a,,Tryon1983,,,^ r o r o t o ! a $,default
areare1-223_blunt-1,,areare1,223_blunt,komu,komu,k o m u,,Tryon1983,,,^ k o m u $,default
areare1-110_board-1,,areare1,110_board,pahitai!ai,pahitai!ai,p a h i t a i ʔ a i,,Tryon1983,,,^ p a h i t a i ! a i $,default
areare1-18_body-1,,areare1,18_body,sape-na,sape-na,s a p e + n a,,Tryon1983,,,^ s a p e - n a $,default
areare1-19_bone-1,,areare1,19_bone,susuri-na,susuri-na,s u s u r i + n a,,Tryon1983,,,^ s u s u r i - n a $,default
areare1-111_bow-1,,areare1,111_bow,pasi,pasi,p a s i,,Tryon1983,,,^ p a s i $,default
areare1-20_brain-1,,areare1,20_brain,osona,osona,o s o n a,,Tryon1983,,,^ o s o n a $,default
areare1-74_branch-1,,areare1,74_branch,rararana,rararana,r a r a r a n a,,Tryon1983,,,^ r a r a r a n a $,default
areare1-85_breadfruit-1,,areare1,85_breadfruit,pare!ɔ,pare!ɔ,p a r e ʔ ɔ,,Tryon1983,,,^ p a r e ! ɔ $,default
areare1-255_break-1,,areare1,255_break,potaria,potaria,p o t a r i a,,Tryon1983,,,^ p o t a r i a $,default
areare1-21_breast-1,,areare1,21_breast,susu-na,susu-na,s u s u + n a,,Tryon1983,,,^ s u s u - n a $,default
areare1-303_breathe-1,,areare1,303_breathe,mano,mano,m a n o,,Tryon1983,,,^ m a n o $,default
areare1-296_burn-1,,areare1,296_burn,ehu,ehu,e h u,,Tryon1983,,,^ e h u $,default
areare1-296_burn-2,,areare1,296_burn,sunia,sunia,s u n i a,,Tryon1983,,,^ s u n i a $,default
areare1-138_bush-1,,areare1,138_bush,ma!asu,ma!asu,m a ʔ a s u,,Tryon1983,,,^ m a ! a s u $,default
areare1-47_butterfly-1,,areare1,47_butterfly,pepe,pepe,p e p e,,Tryon1983,,,^ p e p e $,default
areare1-113_calico-1,,areare1,113_calico,kaleko,kaleko,k a l e k o,,Tryon1983,,,^ k a l e k o $,default
areare1-112_canoe-1,,areare1,112_canoe,iɔra,iɔra,i ɔ r a,,Tryon1983,,,^ i ɔ r a $,default
areare1-124_cave-1,,areare1,124_cave,hahare,hahare,h a h a r e,,Tryon1983,,,^ h a h a r e $,default
areare1-48_centipede-1,,areare1,48_centipede,saruhe,saruhe,s a r u h e,,Tryon1983,,,^ s a r u h e $,default
areare1-49_chicken-1,,areare1,49_chicken,kuakua,kuakua,k u a k u a,,Tryon1983,,,^ k u a k u a $,default
areare1-108_chieftain-1,,areare1,108_chieftain,araha,araha,a r a h a,,Tryon1983,,,^ a r a h a $,default
areare1-104_child-1,,areare1,104_child,karena,karena,k a r e n a,,Tryon1983,,,^ k a r e n a $,default
areare1-151_cloud-1,,areare1,151_cloud,wahawaha,wahawaha,w a h a w a h a,,Tryon1983,,,^ w a h a w a h a $,default
areare1-114_club-1,,areare1,114_club,ti!ati!a,ti!ati!a,t i ʔ a t i ʔ a,,Tryon1983,,,^ t i ! a t i ! a $,default
areare1-86_coconut-1,,areare1,86_coconut,niu,niu,n i u,,Tryon1983,,,^ n i u $,default
areare1-219_cold-1,,areare1,219_cold,mama!ūsi,mama!ūsi,m a m a ʔ uː s i,,Tryon1983,,,^ m a m a ! ū s i $,default
areare1-279_come-1,,areare1,279_come,raemai,raemai,r a e m a i,,Tryon1983,,,^ r a e m a i $,default
areare1-323_copulate-1,,areare1,323_copulate,to!a,to!a,t o ʔ a,,Tryon1983,,,^ t o ! a $,default
areare1-247_correct-1,,areare1,247_correct,otooto,otooto,o t o o t o,,Tryon1983,,,^ o t o o t o $,default
areare1-291_count-1,,areare1,291_count,etamia,etamia,e t a m i a,,Tryon1983,,,^ e t a m i a $,default
areare1-50_crocodile-1,,areare1,50_crocodile,huasa,huasa,h u a s a,,Tryon1983,,,^ h u a s a $,default
areare1-304_cry-1,,areare1,304_cry,nara,nara,n a r a,,Tryon1983,,,^ n a r a $,default
areare1-256_cutstring-1,,areare1,256_cutstring,kiria,kiria,k i r i a,,Tryon1983,,,^ k i r i a $,default
areare1-257_cutwood-1,,areare1,257_cutwood,tohua,tohua,t o h u a,,Tryon1983,,,^ t o h u a $,default
areare1-87_cutnut-1,,areare1,87_cutnut,!ai tapi,!ai tapi,ʔ a i + t a p i,,Tryon1983,,,^ ! a i + t a p i $,default
areare1-280_dance-1,,areare1,280_dance,mao,mao,m a o,,Tryon1983,,,^ m a o $,default
areare1-139_day-1,,areare1,139_day,hausina,hausina,h a u s i n a,,Tryon1983,,,^ h a u s i n a $,default
areare1-321_defaecate-1,,areare1,321_defaecate,he!a,he!a,h e ʔ a,,Tryon1983,,,^ h e ! a $,default
areare1-305_die-1,,areare1,305_die,mae,mae,m a e,,Tryon1983,,,^ m a e $,default
areare1-258_dig-1,,areare1,258_dig,!eri,!eri,ʔ e r i,,Tryon1983,,,^ ! e r i $,default
areare1-243_dirty-1,,areare1,243_dirty,makano!a,makano!a,m a k a n o ʔ a,,Tryon1983,,,^ m a k a n o ! a $,default
areare1-51_dog-1,,areare1,51_dog,kukui,kukui,k u k u i,,Tryon1983,,,^ k u k u i $,default
areare1-306_drink-1,,areare1,306_drink,ino,ino,i n o,,Tryon1983,,,^ i n o $,default
