Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
a	a	mata-na, tama-na	Haununu, Bauro (Pawa village), Santa Catalina, Rawo, Bauro (Baroo village), Santa Ana, Faghani, Vaghua, Agufi, Samasodu, Ghone, Kia, Varisi, Mami, Tawaroga, Moli, Mbareke, Talise, Tikopia, Hoava, Mbaengguu, Rihu'a, Kahua, Mbirao, Kusaghe, Fataleka, Sikaiana, Arosi (Tawatana village), Nginia, Ulawa, Ughele, Nggae, Malagheti, Marovo, Tandai, Mbaelelea, Arosi (Oneibia village), Malango, To'ambaita, Tataba, Anuta, Poleo, Ghari, Mono, Leleghia, Kokota, Oroha, Simbo, Roviana, 'Are'are (Ma'asupa village), Tolo, Langalanga, 'Are'are (Waiahaa village), Lau North, Nggela, Vangunu, Pileni, Uki Ni Masi, Kwara'ae, Kwaio, Alu, Nggeri, Ontong Java, Kmagha, Poro, Mbilua, Walade (LauS), Mbambatana, Dhadhaje, Sa'a (A'ulu village), Marau, Kwai, Blablanga, Sa'a (Sa'a village), Longgu, Ghanongga, Nduke, Ndovele, Fauro, Lavukaleve, Lengo, Nembao, Kilokaka, Avasö, Dori'o, Ghove, Tunöe, Rennell, Vano, Ndi, Savosavo, Katazi, Lömaumbi, Sengga, Bellona, Lungga, Koo, Ghaimuta, Tanema, Buma, Ririo, Tanimbili, Asumboa, Mbaniata, Lokuru, Nanggu, Malo, Kazukuru, Reefs, Paripao, Lwepe	21547	U+0061
a$	a	-na, ura	Mbirao, Haununu, Rawo, Kwaio, To'ambaita, Bauro (Baroo village), Mbaniata, Moli, Malagheti, Bauro (Pawa village), Tolo, Nduke, Faghani, Roviana, Tawaroga, Marovo, Dori'o, 'Are'are (Waiahaa village), 'Are'are (Ma'asupa village), Rihu'a, Ughele, Langalanga, Talise, Arosi (Tawatana village), Ghari, Nggela, Vaghua, Alu, Mami, Ghone, Malango, Oroha, Nginia, Marau, Mono, Tandai, Lokuru, Varisi, Fauro, Simbo, Dhadhaje, Poleo, Ghanongga, Mbareke, Ghaimuta, Ulawa, Avasö, Samasodu, Sa'a (Sa'a village), Kusaghe, Lungga, Mbaelelea, Lau North, Hoava, Nggeri, Nggae, Santa Ana, Vangunu, Leleghia, Tataba, Kia, Kmagha, Longgu, Santa Catalina, Poro, Agufi, Savosavo, Kahua, Arosi (Oneibia village), Kilokaka, Koo, Walade (LauS), Fataleka, Kwai, Lömaumbi, Mbaengguu, Ontong Java, Sengga, Blablanga, Tikopia, Mbambatana, Kokota, Ndi, Pileni, Tunöe, Uki Ni Masi, Rennell, Katazi, Sikaiana, Bellona, Anuta, Mbilua, Tanema, Ghove, Lavukaleve, Lengo, Sa'a (A'ulu village), Vano, Ndovele, Buma, Asumboa, Ririo, Kwara'ae, Nembao, Paripao, Nanggu, Malo, Lwepe, Tanimbili, Kazukuru, Reefs	13887	U+0061 U+0024
i	i	mimi, niu	Tanimbili, Ughele, Nggela, Haununu, Ririo, Vano, Marovo, Mbilua, Roviana, Mbambatana, Mbirao, Faghani, Mbareke, Nduke, Tunöe, Rawo, Moli, 'Are'are (Waiahaa village), Dori'o, Ghanongga, Kia, Rihu'a, Malango, Bauro (Pawa village), Buma, Hoava, 'Are'are (Ma'asupa village), Vangunu, Samasodu, Bauro (Baroo village), Ndovele, Kwaio, Sa'a (Sa'a village), Lokuru, Ghone, Kwara'ae, Mbaniata, Longgu, Malagheti, Dhadhaje, Kusaghe, Tolo, Kazukuru, Langalanga, Arosi (Tawatana village), Lengo, Marau, Lavukaleve, Asumboa, Oroha, Mbaengguu, Simbo, Katazi, Talise, Sikaiana, Pileni, Ghari, Poleo, Alu, Reefs, Santa Ana, Ulawa, Savosavo, Leleghia, Ghaimuta, Mono, Tataba, Santa Catalina, Mbaelelea, Rennell, Arosi (Oneibia village), Fauro, To'ambaita, Mami, Sa'a (A'ulu village), Bellona, Fataleka, Lungga, Kwai, Tikopia, Nginia, Kahua, Kmagha, Tandai, Kokota, Nggae, Poro, Uki Ni Masi, Tawaroga, Lau North, Nembao, Agufi, Koo, Kilokaka, Nggeri, Blablanga, Avasö, Lömaumbi, Walade (LauS), Varisi, Tanema, Anuta, Malo, Sengga, Nanggu, Ndi, Ghove, Ontong Java, Lwepe, Paripao, Vaghua	9293	U+0069
u	u	susu-na, mburumburu	Ghone, Ririo, Nggela, Moli, Mbirao, Talise, Malagheti, Tolo, Mbilua, Malango, Roviana, Ndovele, Ghanongga, Samasodu, Nginia, Varisi, Ghari, Poleo, Hoava, Tandai, Mbareke, Vangunu, Dhadhaje, Mbambatana, Lengo, Nggae, Nggeri, Ughele, Kia, Kusaghe, Faghani, Savosavo, Nduke, Bauro (Pawa village), Ghaimuta, Reefs, Marovo, Simbo, Lungga, Haununu, Tunöe, Lavukaleve, Santa Catalina, Pileni, Katazi, Alu, To'ambaita, Marau, Dori'o, Avasö, Langalanga, Santa Ana, Kokota, Longgu, Tikopia, Mbaelelea, Leleghia, Fataleka, Mono, Agufi, Sikaiana, Poro, Ontong Java, Sa'a (Sa'a village), Bauro (Baroo village), Arosi (Tawatana village), Kwaio, Sa'a (A'ulu village), Rawo, Ndi, Oroha, Kmagha, Tanimbili, Fauro, 'Are'are (Waiahaa village), Tawaroga, Kilokaka, Rihu'a, Ulawa, Mbaengguu, Buma, Kahua, 'Are'are (Ma'asupa village), Mami, Lömaumbi, Walade (LauS), Asumboa, Lau North, Tataba, Rennell, Kwara'ae, Koo, Blablanga, Lokuru, Vano, Kwai, Bellona, Mbaniata, Sengga, Arosi (Oneibia village), Anuta, Uki Ni Masi, Kazukuru, Ghove, Nembao, Nanggu, Tanema, Paripao, Malo, Vaghua, Lwepe	9095	U+0075
n	n	manu, nunu	Ughele, Marovo, Mbareke, Vangunu, Simbo, Bauro (Baroo village), Bauro (Pawa village), Kwaio, Nggela, Sa'a (Sa'a village), Tawaroga, Roviana, Lungga, Faghani, Marau, Mono, Malagheti, Samasodu, Nggae, Haununu, Nduke, 'Are'are (Ma'asupa village), Ghanongga, Vaghua, Kia, Alu, Kusaghe, Ghone, Moli, Talise, Tandai, Malango, Oroha, Fauro, Varisi, Arosi (Tawatana village), Mbirao, Rihu'a, Nginia, Ulawa, Rawo, Nggeri, Ghari, To'ambaita, Hoava, Kilokaka, Mami, Tolo, Mbaengguu, Avasö, Koo, Kokota, Blablanga, Dori'o, Kazukuru, Poleo, Vano, Fataleka, Sa'a (A'ulu village), Sikaiana, Agufi, Mbaelelea, Arosi (Oneibia village), Santa Catalina, 'Are'are (Waiahaa village), Lau North, Santa Ana, Ghaimuta, Ndi, Mbaniata, Kahua, Buma, Longgu, Walade (LauS), Sengga, Katazi, Lokuru, Mbambatana, Asumboa, Tunöe, Tanema, Lömaumbi, Nembao, Lengo, Kwai, Reefs, Rennell, Mbilua, Malo, Tikopia, Pileni, Tanimbili, Nanggu, Anuta, Ririo, Ndovele, Tataba, Uki Ni Masi, Kmagha, Savosavo, Bellona, Leleghia, Lavukaleve, Ghove, Poro, Lwepe, Langalanga, Dhadhaje, Kwara'ae, Paripao, Ontong Java	8867	U+006e
r	r	ura, mauri	Bauro (Pawa village), Faghani, Rawo, 'Are'are (Waiahaa village), Tawaroga, Bauro (Baroo village), Haununu, Santa Catalina, Oroha, Arosi (Tawatana village), Kahua, Mami, Santa Ana, Agufi, Arosi (Oneibia village), 'Are'are (Ma'asupa village), Marau, Rihu'a, Mbaniata, Tikopia, Samasodu, Ghone, Anuta, Varisi, Ghanongga, Mbareke, Vangunu, Mbilua, Ndovele, Lokuru, Roviana, Vaghua, Simbo, Leleghia, Kmagha, Nduke, Kilokaka, Marovo, Kokota, Hoava, Lungga, Kusaghe, Ughele, Mbambatana, Kwaio, Tataba, Poro, Katazi, Mbaengguu, Lau North, Avasö, Sengga, Tunöe, Nggae, Langalanga, Tolo, Walade (LauS), Mbirao, Blablanga, Moli, Ghari, Ghove, Poleo, Nginia, Kia, Ulawa, Mbaelelea, Tandai, Sa'a (A'ulu village), Talise, Sa'a (Sa'a village), To'ambaita, Dhadhaje, Longgu, Lömaumbi, Fataleka, Nggeri, Malango, Nembao, Uki Ni Masi, Nggela, Ririo, Malagheti, Lengo, Lavukaleve, Kwai, Ndi, Koo, Ghaimuta, Savosavo, Dori'o, Vano, Buma, Tanema, Alu, Kwara'ae, Fauro, Mono, Kazukuru, Tanimbili, Pileni, Paripao, Nanggu, Asumboa, Lwepe	6605	U+0072
e	e	kele-na, mbembe	Vano, Buma, Nduke, Asumboa, Samasodu, Ghanongga, Hoava, Kia, Kusaghe, Vangunu, Lavukaleve, Mbaniata, Sikaiana, Ughele, Marovo, Varisi, Reefs, Mbareke, Leleghia, Avasö, Tanimbili, Vaghua, Tikopia, Lömaumbi, Ontong Java, Tataba, Mono, Mbilua, Roviana, Kmagha, Blablanga, Sa'a (A'ulu village), Kwara'ae, Mbambatana, Anuta, Sengga, Alu, Lungga, Pileni, Fataleka, Savosavo, Fauro, Kilokaka, Ulawa, Katazi, Dhadhaje, Tanema, Poro, Simbo, Mami, Kokota, Kwai, Ghove, Rennell, Malango, Mbirao, Nginia, Lokuru, Ghone, Mbaelelea, Tolo, Malo, Ririo, Ndovele, To'ambaita, Bauro (Baroo village), Tawaroga, Uki Ni Masi, Tandai, Sa'a (Sa'a village), Malagheti, Nggeri, Kahua, Nggela, Agufi, Longgu, Santa Ana, Walade (LauS), Bellona, Tunöe, Kwaio, Bauro (Pawa village), Santa Catalina, Lau North, Ghari, Talise, Poleo, Haununu, Oroha, Ghaimuta, Moli, Marau, 'Are'are (Waiahaa village), Koo, Nembao, Nggae, Langalanga, 'Are'are (Ma'asupa village), Arosi (Tawatana village), Mbaengguu, Dori'o, Rawo, Arosi (Oneibia village), Lengo, Faghani, Lwepe, Ndi, Kazukuru, Nanggu, Rihu'a, Paripao	6199	U+0065
u$	u	-mu, niu	Lengo, Santa Ana, Tikopia, Nggela, Rennell, Mbambatana, Bellona, Anuta, Kwaio, Pileni, Ontong Java, Poro, Mbilua, Lau North, Ndovele, Mbareke, Santa Catalina, Ulawa, Sikaiana, Leleghia, Kahua, Moli, 'Are'are (Waiahaa village), Katazi, Blablanga, Dhadhaje, Longgu, Arosi (Oneibia village), Vangunu, Simbo, Kmagha, Tataba, Ghone, Uki Ni Masi, Tunöe, Tanimbili, Kia, Lungga, Sa'a (A'ulu village), Kwai, Sengga, Varisi, Hoava, Kilokaka, Kokota, Langalanga, Ghove, Oroha, Mbaengguu, Tolo, Nggeri, Nggae, Ghari, Walade (LauS), Samasodu, Ghanongga, Ndi, Nduke, Marovo, To'ambaita, Talise, Nginia, Alu, Mbirao, Mbaelelea, Faghani, Savosavo, Poleo, Tandai, Bauro (Baroo village), 'Are'are (Ma'asupa village), Kusaghe, Arosi (Tawatana village), Malagheti, Marau, Rawo, Dori'o, Fataleka, Mono, Haununu, Ghaimuta, Lömaumbi, Ughele, Malango, Sa'a (Sa'a village), Bauro (Pawa village), Rihu'a, Agufi, Roviana, Fauro, Avasö, Nanggu, Reefs, Lavukaleve, Koo, Mami, Malo, Tawaroga, Mbaniata, Vano, Lokuru, Buma, Lwepe, Kazukuru, Nembao, Asumboa, Paripao, Kwara'ae, Tanema, Ririo, Vaghua	5936	U+0075 U+0024
